epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,35.985,1.53674,1.92104,1.04601,0.46629,0.62184,0.45034,0.25131,1.55022,2.05159,1.17322,0.000772564,0.000772564,0.000772564
29,37.2891,1.45986,1.69038,1.08709,0.4905,0.80588,0.46965,0.24418,1.52997,1.88202,1.12537,0.000766432,0.000766432,0.000766432
30,38.6277,1.53742,1.76683,1.01047,0.4905,0.80588,0.46965,0.24418,1.52997,1.88202,1.12537,0.000757924,0.000757924,0.000757924
31,39.9017,1.42518,1.74293,1.03793,0.4905,0.80588,0.46965,0.24418,1.52997,1.88202,1.12537,0.00074704,0.00074704,0.00074704
32,41.2159,1.47408,1.56854,1.08106,0.4905,0.80588,0.46965,0.24418,1.52997,1.88202,1.12537,0.00073378,0.00073378,0.00073378
33,42.4794,1.50113,1.69202,1.04691,0.4905,0.80588,0.46965,0.24418,1.52997,1.88202,1.12537,0.000718144,0.000718144,0.000718144
34,43.7334,1.54396,1.58603,1.13888,0.49215,0.88929,0.48328,0.26518,1.51888,1.69538,1.10007,0.0006932,0.0006932,0.0006932
35,44.9285,1.42911,1.41677,1.06032,0.49215,0.88929,0.48328,0.26518,1.51888,1.69538,1.10007,0.0006536,0.0006536,0.0006536
36,46.2482,1.5574,1.50215,1.10402,0.49215,0.88929,0.48328,0.26518,1.51888,1.69538,1.10007,0.000614,0.000614,0.000614
37,47.5534,1.43343,1.54962,1.01061,0.49215,0.88929,0.48328,0.26518,1.51888,1.69538,1.10007,0.0005744,0.0005744,0.0005744
38,48.7074,1.48498,1.4968,1.09899,0.49215,0.88929,0.48328,0.26518,1.51888,1.69538,1.10007,0.0005348,0.0005348,0.0005348
39,50.0397,1.5422,1.40236,1.05576,0.49215,0.88929,0.48328,0.26518,1.51888,1.69538,1.10007,0.0004952,0.0004952,0.0004952
40,51.7503,1.51836,1.56135,1.07981,0.47867,0.90588,0.47456,0.26934,1.50018,1.63652,1.09506,0.0004556,0.0004556,0.0004556
41,53.0096,1.5209,1.48044,1.06335,0.47867,0.90588,0.47456,0.26934,1.50018,1.63652,1.09506,0.000416,0.000416,0.000416
42,54.2266,1.43548,1.32152,1.06388,0.47867,0.90588,0.47456,0.26934,1.50018,1.63652,1.09506,0.0003764,0.0003764,0.0003764
43,55.4108,1.46712,1.22849,1.08043,0.47867,0.90588,0.47456,0.26934,1.50018,1.63652,1.09506,0.0003368,0.0003368,0.0003368
44,56.6379,1.49898,1.30717,1.09747,0.47867,0.90588,0.47456,0.26934,1.50018,1.63652,1.09506,0.0002972,0.0002972,0.0002972
45,57.8538,1.46658,1.27029,1.07108,0.48345,0.94118,0.4729,0.26488,1.49296,1.57233,1.08983,0.0002576,0.0002576,0.0002576
46,59.0869,1.52877,1.53309,1.12902,0.48345,0.94118,0.4729,0.26488,1.49296,1.57233,1.08983,0.000218,0.000218,0.000218
47,60.2298,1.44922,1.33159,1.0349,0.48345,0.94118,0.4729,0.26488,1.49296,1.57233,1.08983,0.0001784,0.0001784,0.0001784
48,61.3652,1.48072,1.28266,1.10804,0.48345,0.94118,0.4729,0.26488,1.49296,1.57233,1.08983,0.0001388,0.0001388,0.0001388
49,62.5794,1.44095,1.26119,1.0823,0.48345,0.94118,0.4729,0.26488,1.49296,1.57233,1.08983,9.92e-05,9.92e-05,9.92e-05
50,63.7785,1.436,1.17714,1.04818,0.48823,0.93824,0.47785,0.26141,1.47995,1.55967,1.09107,5.96e-05,5.96e-05,5.96e-05
