epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.41915,2.23987,3.55698,1.52505,0.01583,0.05588,0.00836,0.00359,1.77356,3.57633,1.37301,4e-05,4e-05,4e-05
2,2.60611,2.09511,3.49782,1.68445,0.02917,0.10294,0.01624,0.00867,1.59322,3.55077,1.299,9.802e-05,9.802e-05,9.802e-05
3,3.81487,1.88124,3.44305,1.5271,0.05167,0.18235,0.03085,0.0164,1.52872,3.52424,1.27502,0.000153664,0.000153664,0.000153664
4,5.11274,1.52956,3.3474,1.31932,0.06917,0.24412,0.04519,0.02362,1.55607,3.50349,1.3009,0.000206932,0.000206932,0.000206932
5,6.31153,1.54978,3.27711,1.30731,0.09167,0.32353,0.06376,0.031,1.65449,3.46571,1.34057,0.000257824,0.000257824,0.000257824
6,7.57882,1.62599,3.17355,1.31608,0.11,0.38824,0.07773,0.03873,1.71924,3.4073,1.35321,0.00030634,0.00030634,0.00030634
7,8.84632,1.49985,3.00555,1.26147,0.13,0.45882,0.09492,0.0521,1.71507,3.29736,1.32667,0.00035248,0.00035248,0.00035248
8,10.1085,1.63807,2.93597,1.25858,0.14,0.49412,0.10473,0.06342,1.64134,3.14801,1.26533,0.000396244,0.000396244,0.000396244
9,11.545,1.57452,2.78493,1.18799,0.14,0.49412,0.10473,0.06342,1.64134,3.14801,1.26533,0.000437632,0.000437632,0.000437632
10,13.0737,1.59702,2.57592,1.25656,0.13667,0.48235,0.16959,0.11157,1.54151,2.97108,1.1896,0.000476644,0.000476644,0.000476644
11,14.3644,1.50588,2.55116,1.14914,0.13667,0.48235,0.16959,0.11157,1.54151,2.97108,1.1896,0.00051328,0.00051328,0.00051328
12,15.6303,1.59433,2.43222,1.13637,0.155,0.54706,0.28053,0.17665,1.53669,2.7971,1.17907,0.00054754,0.00054754,0.00054754
13,16.9033,1.49165,2.28966,1.13298,0.155,0.54706,0.28053,0.17665,1.53669,2.7971,1.17907,0.000579424,0.000579424,0.000579424
14,18.1852,1.54328,2.38868,1.16666,0.47931,0.49275,0.34259,0.21259,1.54999,2.56648,1.18035,0.000608932,0.000608932,0.000608932
15,19.4908,1.51145,2.17473,1.15292,0.47931,0.49275,0.34259,0.21259,1.54999,2.56648,1.18035,0.000636064,0.000636064,0.000636064
16,20.7864,1.44446,2.22688,1.08947,0.47931,0.49275,0.34259,0.21259,1.54999,2.56648,1.18035,0.00066082,0.00066082,0.00066082
17,22.071,1.61316,2.05538,1.23494,0.46383,0.3384,0.38714,0.22201,1.57654,2.39931,1.19939,0.0006832,0.0006832,0.0006832
18,23.2448,1.45089,2.01492,1.1175,0.46383,0.3384,0.38714,0.22201,1.57654,2.39931,1.19939,0.000703204,0.000703204,0.000703204
19,24.4899,1.47321,1.96776,1.09767,0.46383,0.3384,0.38714,0.22201,1.57654,2.39931,1.19939,0.000720832,0.000720832,0.000720832
20,25.707,1.58069,2.05028,1.18582,0.47045,0.47353,0.4211,0.23998,1.59953,2.22612,1.20669,0.000736084,0.000736084,0.000736084
21,27.0163,1.5929,1.70901,1.11909,0.47045,0.47353,0.4211,0.23998,1.59953,2.22612,1.20669,0.00074896,0.00074896,0.00074896
22,28.3056,1.54977,1.78878,1.1302,0.47045,0.47353,0.4211,0.23998,1.59953,2.22612,1.20669,0.00075946,0.00075946,0.00075946
23,29.5739,1.55456,1.68222,1.1878,0.47045,0.47353,0.4211,0.23998,1.59953,2.22612,1.20669,0.000767584,0.000767584,0.000767584
24,30.8906,1.5629,1.95614,1.08492,0.46629,0.62184,0.45034,0.25131,1.55022,2.05159,1.17322,0.000773332,0.000773332,0.000773332
25,32.2114,1.52019,1.74577,1.04436,0.46629,0.62184,0.45034,0.25131,1.55022,2.05159,1.17322,0.000776704,0.000776704,0.000776704
26,33.4694,1.48831,1.59626,1.1122,0.46629,0.62184,0.45034,0.25131,1.55022,2.05159,1.17322,0.0007777,0.0007777,0.0007777
27,34.7409,1.55859,1.74796,1.07952,0.46629,0.62184,0.45034,0.25131,1.55022,2.05159,1.17322,0.00077632,0.00077632,0.00077632
